movie_id,movie_name,year,certificate,runtime,genre,rating,description,director,director_id,star,star_id,votes,Domestic gross (North America),Action,Adult,Adventure,Animation,Biography,Comedy,Crime,Drama,Family,Fantasy,Film-Noir,History,Horror,Music,Musical,Mystery,Romance,Sci-Fi,Sport,Thriller,War,Western,G,NC-17,PG,PG-13,R,release_date,budget,worldwide_gross,is_profitable,month_number
tt0068718,The Hot Rock,1972,PG,101 min,"Action,Comedy,Crime",6.8,Dortmunder and his pals plan to steal a huge diamond from a museum. But this turns out to be only the first time they have to steal it...,Peter Yates,/name/nm0946811/,"Robert Redford, 
George Segal, 
Ron Leibman, 
Paul Sand","/name/nm0000602/,/name/nm0001719/,/name/nm0500038/,/name/nm0761190/",6572,2535566,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1972-01-26,4895000,250,FALSE,1
tt0098282,"See No Evil, Hear No Evil",1989,R,103 min,"Comedy,Crime",6.8,"Dave is deaf, and Wally is blind. They witness a murder, but it was Dave who was looking at her, and Wally who was listening.",Arthur Hiller,/name/nm0002137/,"Richard Pryor, 
Gene Wilder, 
Joan Severance, 
Kevin Spacey","/name/nm0001640/,/name/nm0000698/,/name/nm0000220/,/name/nm0000228/",55681,46908987,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1989-05-12,18000000,46900000,TRUE,5
tt0100449,Quick Change,1990,R,89 min,"Comedy,Crime",6.8,"Three thieves successfully rob a New York City bank, but making the escape from the city proves to be almost impossible.","Howard Franklin, 
Bill Murray",/name/nm0291442/,"Bill Murray, 
Geena Davis, 
Randy Quaid, 
Dale Grand","/name/nm0000195/,/name/nm0000195/,/name/nm0000133/,/name/nm0001642/,/name/nm0334746/",21221,15260154,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1990-07-13,15000000,15300000,FALSE,7
tt0380599,Oliver Twist,2005,PG-13,130 min,"Crime,Drama",6.8,"An adaptation of the classic Dickens tale, where an orphan meets a pickpocket on the streets of London. From there, he joins a household of boys who are trained to steal for their master.",Roman Polanski,/name/nm0000591/,"Barney Clark, 
Ben Kingsley, 
Jeremy Swift, 
Ian McNeice","/name/nm1263280/,/name/nm0001426/,/name/nm0842596/,/name/nm0573862/",33340,1987287,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2005-09-23,60000000,26670920,FALSE,9
tt1251757,Middle Men,2009,R,105 min,"Comedy,Crime,Drama",6.8,"Chronicles Jack Harris, one of the pioneers of Internet commerce, as he wrestles with his morals and struggles not to drown in a sea of con men, mobsters, drug addicts, and porn stars.",George Gallo,/name/nm0303032/,"Luke Wilson, 
Giovanni Ribisi, 
Gabriel Macht, 
James Caan","/name/nm0005561/,/name/nm0000610/,/name/nm0532683/,/name/nm0001001/",37908,723714,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2009-05-17,20000000,754301,FALSE,5
tt0105450,South Central,1992,R,98 min,"Crime,Drama",6.8,A former gangster fresh out of prison wants to change his life for the better and must save his 10 year old son who has already chosen a gang life.,Stephen Milburn Anderson,/name/nm0027465/,"Glenn Plummer, 
Byron Minns, 
Lexie Bigham, 
Vincent Craig Dupree","/name/nm0687625/,/name/nm0591528/,/name/nm0081880/,/name/nm0243431/",6285,1373196,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1992-09-18,4000000,1400000,FALSE,9
tt2382396,Joe,2013,R,117 min,"Crime,Drama",6.8,"An ex-con, who is the unlikeliest of role models, meets a 15-year-old boy and is faced with the choice of redemption or ruin.",David Gordon Green,/name/nm0337773/,"Nicolas Cage, 
Tye Sheridan, 
Gary Poulter, 
Ronnie Gene Blevins","/name/nm0000115/,/name/nm4446467/,/name/nm5371554/,/name/nm1237235/",49393,373375,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2013-05-16,4000000,373375,FALSE,5
tt0268200,Brigham City,2001,PG-13,119 min,"Crime,Drama,Mystery",6.8,The sheriff of a small Utah community searches for a serial killer.,Richard Dutcher,/name/nm0244756/,"Richard Dutcher, 
Wilford Brimley, 
Matthew A. Brown, 
Carrie Morgan","/name/nm0244756/,/name/nm0000979/,/name/nm0114231/,/name/nm0604537/",1559,852206,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2001-03-30,1000000,852206,FALSE,3
tt0315327,Bruce Almighty,2003,PG-13,101 min,"Comedy,Fantasy",6.8,A whiny news reporter is given the chance to step into God's shoes.,Tom Shadyac,/name/nm0001723/,"Jim Carrey, 
Jennifer Aniston, 
Morgan Freeman, 
Philip Baker Hall","/name/nm0000120/,/name/nm0000098/,/name/nm0000151/,/name/nm0001311/",410495,242829261,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2003-05-23,81000000,484468608,TRUE,5
tt0478304,The Tree of Life,2011,PG-13,139 min,"Drama,Fantasy",6.8,"The story of a family in Waco, Texas in 1956. The eldest son witnesses the loss of innocence and struggles with his parents' conflicting teachings.",Terrence Malick,/name/nm0000517/,"Brad Pitt, 
Sean Penn, 
Jessica Chastain, 
Hunter McCracken","/name/nm0000093/,/name/nm0000576/,/name/nm1567113/,/name/nm4447472/",179124,13303319,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2011-05-17,32000000,61721826,FALSE,5
